0.21512,5.5215e+05,1.4733e+05,1.4733e+05
NaN,NaN,NaN,NaN
0.56159,2.8752e+06,1.3786e+05,1.3786e+05
NaN,NaN,NaN,NaN
0.93252,14.715,87825,87829
NaN,NaN,NaN,NaN
0.63124,376.51,1.3146e+05,1.3147e+05
0.036856,495.1,1.6542e+05,1.6543e+05
-0.087663,110.77,1.6745e+05,1.6745e+05
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
-0.085261,87.44,1.6476e+05,1.6477e+05
-0.079976,53.748,1.6263e+05,1.6263e+05
NaN,NaN,NaN,NaN
-0.10076,17.141,1.7787e+05,1.7787e+05
-0.0025598,34.497,1.754e+05,1.7541e+05
0.66465,5.4054e+06,1.2793e+05,1.2793e+05
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0.83906,84.16,1.105e+05,1.1051e+05
NaN,NaN,NaN,NaN
-0.073851,53.539,1.6803e+05,1.6804e+05
0.6999,43.369,1.2631e+05,1.2632e+05
-0.21455,338.39,1.502e+05,1.502e+05
NaN,NaN,NaN,NaN
-0.49445,22.254,1.5628e+05,1.5628e+05
